ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_17_GOV_Total,E_17_GOV_Dem,E_17_GOV_Rep,E_17_AG_Total,E_17_AG_Dem,E_17_AG_Rep,E_17_LTG_Total,E_17_LTG_Dem,E_17_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_21_GOV_Total,E_21_GOV_Dem,E_21_GOV_Rep,E_21_AG_Total,E_21_AG_Dem,E_21_AG_Rep,E_21_LTG_Total,E_21_LTG_Dem,E_21_LTG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,699440,423707,86537,133625,55530,8850,1937,0,0,766462,433844,112043,157541,67704,8783,2503,0,0,782635,408222,124930,163394,78270,19256,2604,784672,409321,125166,163661,78319,19256,2602,773472,432274,113696,161432,69291,9485,2349,136459,55256,1752,512,2726,30796,786055,426071,119393,165030,75618,11473,2439,514070,324852,57187,91357,39212,5862,1243,0,0,528706,335348,49058,101856,35749,3931,529,96891,31224,1581,2629,0,590835,326067,84005,116684,56032,13625,1701,590835,326067,84005,103869,46704,1604,658,3124,24804,536720,335516,51698,105465,36950,4178,462,0,0,0,0,0,549429,334815,57151,108185,42010,4559,457,101832,36999,1052,457,559270,329328,64175,112061,45829,4550,507,103984,39904,675,507,322429,167842,151901,331666,171451,160215,359530,181480,156315,230722,125532,102518,229677,123528,105857,229724,123271,106158,305005,176653,122062,346228,186276,153821,414235,230634,175558,408577,232400,175739,297230,147640,147334,295699,149165,146241,295888,148873,146670,374103,201402,169474,419352,219966,188399,412921,228483,183406
2,2,733747,444067,41629,208251,41362,8472,2098,0,0,762981,443333,54061,220123,49760,9382,2404,0,0,783911,432808,60904,225354,57200,18687,3430,784672,433292,60928,225109,57248,18692,3418,765237,439955,56112,222390,51486,9971,2327,195882,38203,1272,419,1708,31690,783592,442126,60787,228785,55467,10907,3130,555397,351954,26647,146236,29361,5906,1317,0,0,569089,352273,29316,152955,27611,4904,437,147438,23643,1166,2944,0,607992,352864,39876,165025,41496,13403,2215,607992,352864,39876,150974,33207,1778,712,2755,25826,570266,350594,30556,153954,28068,4736,336,0,0,0,0,0,586947,355341,34845,159469,30001,4942,348,152609,25166,750,348,590513,351785,37654,161315,31808,4701,465,153814,26102,834,465,345068,177007,164815,340029,174927,165102,353264,167143,165610,226716,121166,102932,225147,117017,107931,225398,114631,110602,290302,160995,123426,332737,170212,156957,395652,208829,178839,391021,214901,175751,285882,134163,149481,284569,135490,148863,284448,134105,150079,358373,185711,170544,401383,207015,187896,396458,213526,182467
3,3,766607,367678,43101,330913,28534,10931,2486,0,0,770649,353347,54823,332305,34185,10966,2872,0,0,781187,335948,63151,340637,37425,19321,3699,784672,336750,63206,342659,37440,19323,3691,772814,349398,57370,333389,36276,11229,3294,304147,23316,1884,741,3327,32628,777833,343949,60832,336863,36467,12917,3170,589820,301044,29587,238272,20914,7796,1652,0,0,582993,289618,30131,237416,17502,5899,694,231652,14134,1800,2988,0,615376,281449,43871,255803,28207,14341,2569,615376,281449,43871,236644,20536,2090,1040,3044,26702,585629,289138,31940,237673,18536,5835,516,0,0,0,0,0,587165,285657,33439,240682,19181,5759,386,232099,15323,1347,386,586165,278858,37418,239950,20983,6379,347,229437,16576,1483,347,340525,215809,121813,332333,215374,116959,323492,193280,112318,208095,134848,70638,206630,132015,74367,206973,130614,76121,257607,171960,81001,290834,182803,103186,348315,222634,118380,342855,226372,116076,239401,140502,96282,238243,142253,95723,238203,140318,97582,304917,192330,110639,334889,208607,120347,330627,213550,116663
4,4,750967,375990,33275,326149,14771,7631,1133,0,0,771245,376258,43376,333477,17016,10333,1192,0,0,787395,370193,57311,331966,20124,15256,1631,784672,369156,57223,329922,20065,15248,1595,769914,372788,45661,334083,16970,9409,1047,312847,11351,1759,278,1664,23573,783148,373931,50911,340243,18147,10121,1203,589059,310564,22566,242631,11755,5622,755,0,0,594586,312960,16194,249922,9108,5737,193,244087,7596,1652,2131,0,633124,314744,38272,256559,16152,11587,1084,633124,314744,38272,244204,11937,2138,364,2415,19050,596734,312924,18052,250679,8552,5931,233,0,0,0,0,0,610958,317237,21637,255424,9838,6185,387,246897,7722,1056,387,611079,316805,26255,250260,10490,6860,351,241018,7737,1171,351,353873,210658,139312,361026,217719,143307,365062,206604,143978,235719,137837,95663,234261,136249,97815,234430,135605,98662,298937,183597,111323,338010,195894,137984,398735,236185,156906,392541,240263,151945,289637,153535,132413,288025,155944,131756,288092,154952,132781,355699,206029,147791,388339,222098,160419,381576,227555,153404
5,5,720341,478413,36251,169805,34521,6290,844,0,0,766618,487203,46309,184143,48270,6732,947,0,0,786668,477756,58575,185498,53818,14091,1164,784672,477192,58469,183990,53775,13966,1152,777659,490386,47253,186708,51087,7109,753,170010,42722,1333,188,2264,23495,793026,491559,52630,189811,53559,9238,944,552397,378316,24096,124051,24244,4413,531,0,0,566771,387550,17441,135829,21211,4098,278,131390,18802,1125,1532,0,613737,386658,38739,141333,37955,10225,760,613737,386658,38739,131471,33621,1330,191,2597,19130,572229,389980,18292,136774,22423,4025,275,0,0,0,0,0,585615,394823,22049,138222,25412,4369,290,132809,22074,693,290,593697,390095,28245,141479,27429,4179,513,134959,23933,352,513,365021,174494,186963,371518,176222,195296,388163,185262,179491,268047,136928,127964,266848,133755,132843,266951,133547,133121,340163,188453,144618,375840,193489,175888,432003,229651,194456,425868,232948,192499,336904,161508,172353,335803,163536,171974,335490,163086,172053,402006,211482,187969,446387,238105,200035,440529,242972,196978
6,6,739285,566039,33269,111565,25817,5928,859,0,0,775312,576502,42648,122876,33190,6329,1545,0,0,783658,556275,53426,120264,39982,14860,1191,784672,557217,53231,120265,39915,14842,1183,778993,576368,44251,123134,34162,6475,1684,106883,26849,1788,424,2230,20199,784690,573351,46698,122618,35300,7452,1770,593937,468197,22597,80129,20530,4394,607,0,0,597882,476063,18424,83725,14648,3474,298,80470,12287,1381,1712,0,634961,467411,36219,87899,32113,11144,789,634961,467411,36219,78814,26968,1267,235,2816,21231,602746,477767,19700,84268,15944,3485,320,0,0,0,0,0,609093,480167,20875,84366,18135,4087,455,79577,14588,1025,455,608486,473431,25289,85508,18514,4328,371,79021,14548,714,371,339641,172326,162984,338830,167023,171807,360672,168282,168047,238311,123679,111403,236115,121616,114254,236359,118834,117282,302616,165924,129418,337183,171382,159138,392661,203687,180256,387555,212009,175168,292982,138282,152218,291084,140653,150161,290960,138665,151950,359832,184601,172839,402148,203485,191160,397245,209157,187431
7,7,723727,497414,86383,65288,72912,6977,1255,0,0,769495,514555,100010,70571,82691,7047,1742,0,0,786210,499214,111327,71951,92171,16599,1576,784672,498960,111195,70613,92159,16591,1564,777856,514085,100892,74562,86109,7721,1714,59068,73458,1418,506,2835,25607,785435,509793,107449,77006,86061,9633,1726,563611,396519,61697,48110,55557,4943,859,0,0,544750,406207,38672,47704,47613,3584,335,44575,43265,1368,1157,0,615496,405541,76822,53391,70364,11972,1044,615496,405541,76822,46014,62154,892,276,2526,21271,554198,409632,40927,48712,50232,3428,468,0,0,0,0,0,562833,408884,46949,50181,51915,3422,377,45897,45354,762,377,572878,409190,51400,50965,54904,4518,302,45886,48272,635,302,353280,186034,163573,361200,187495,173705,387352,201364,160945,264034,147549,113644,262518,145202,117069,262310,144384,117636,337143,196559,132837,378458,204692,166830,447221,249059,189295,443081,250638,192006,331165,164973,164185,328972,166710,161963,329228,165401,163392,404588,217473,184071,443270,234045,198574,438690,239163,198628
8,8,698290,409494,94408,151363,42957,9301,1745,0,0,766012,423513,115825,173766,54389,9138,2220,0,0,784898,412686,127877,172454,63556,19289,2561,784672,412704,127962,171819,63553,19288,2544,770053,420357,115894,175151,58017,8751,2215,155029,45188,1620,611,3137,28219,781310,417081,117253,181845,61869,11949,2489,544096,334393,65197,110897,32289,6538,1185,0,0,530940,338114,46104,111899,27870,4632,409,107272,23422,1429,2668,0,614462,341188,88099,129613,47414,14203,1724,614462,341188,88099,116962,38722,1630,504,3093,24264,537702,338657,47925,114774,29804,4141,386,0,0,0,0,0,553852,340826,53317,119022,32740,5010,319,113062,27075,1129,319,563110,339962,58463,123570,33525,5198,381,116380,27978,958,381,328208,189985,135083,340053,196784,143269,358888,205586,131920,238331,144423,91501,236957,141887,94811,236976,141338,95407,303682,193679,103526,345432,205577,133824,413324,252831,152608,409416,253375,155656,296126,163718,130341,294324,165004,129070,294435,164447,129647,369142,217928,148392,405222,233436,162382,400174,238739,160578
9,9,820312,746391,15313,48904,5581,4945,442,0,0,796258,715491,18602,51567,7611,5330,603,0,0,786274,690182,20992,50629,8185,14983,947,784672,690476,20822,48820,8064,14976,931,793577,711694,18600,51704,7784,5810,628,43138,6224,1434,315,840,11324,783223,697351,20437,51321,8182,5609,814,651812,598219,9565,36720,3864,3824,301,0,0,636873,583551,7835,37329,4079,3675,223,35350,3429,1259,707,0,635903,565855,13348,37838,5671,11484,645,635903,565855,13348,33784,4201,1073,162,1317,16163,635406,581251,8184,37185,4306,4116,266,0,0,0,0,0,629548,573238,9856,37397,4814,3545,440,35131,3619,604,440,625675,567586,11139,36611,4938,4621,353,33880,3500,659,353,358409,135623,216321,356386,119887,236499,370979,92196,263819,235235,66480,166231,232978,66277,166483,232709,63965,168523,290210,90873,195340,347972,93041,251224,412897,107076,300168,407436,129349,277683,309627,70125,237853,307860,72602,235060,307317,71950,235099,377685,101663,274782,421370,105234,311654,413606,126514,286532
